projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50,sigma_mps,ind_data,source
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.5,2.85,69.6,153,420,0.33,469,12,0.0539,30,614,7,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,25.5,2.85,69.6,149,420,0.33,469,12,0.0539,0,664,11,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,38,2.85,69.6,143,420,0.33,469,12,0.0539,0,842,6,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,38,2.85,69.6,143,420,0.33,469,12,0.0539,0,635,8,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,56.3,2.85,69.6,146,420,0.33,469,12,0.0539,0,792,7,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,63.6,2.85,69.6,146,420,0.33,469,12,0.0539,0,847,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,12.5,2.85,69.6,174,513,0.33,552,11,0.0579,30,511,7,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.5,2.85,69.6,174,513,0.33,552,11,0.0579,30,652,6,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.4,2.85,69.6,147,420,0.33,469,12,0.0539,30,608,9,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.5,2.85,69.6,174,513,0.33,552,11,0.0579,0,598,11,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,40.5,2.85,69.6,174,513,0.33,552,11,0.0579,0,938,8,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.3,2.85,69.6,147,420,0.33,469,12,0.0539,0,563,8,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,25.5,2.85,69.6,147,420,0.33,469,12,0.0539,0,671,8,N,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,40.5,2.85,69.6,147,420,0.33,469,12,0.0539,0,872,8,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,50.1,2.85,69.6,174,513,0.33,552,11,0.0579,0,782,7,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,52.8,2.85,69.6,174,513,0.33,552,11,0.0579,0,809,10,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,56.3,2.85,69.6,174,513,0.33,552,11,0.0579,0,843,8,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.4,2.85,69.6,147,420,0.33,469,12,0.0539,0,738,6,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.8,2.85,69.6,147,420,0.33,469,12,0.0539,0,737,5,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.9,2.85,69.6,147,420,0.33,469,12,0.0539,0,732,6,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.1,2.85,69.6,147,420,0.33,469,12,0.0539,0,734,5,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.2,2.85,69.6,147,420,0.33,469,12,0.0539,0,734,5,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.4,2.85,69.6,147,420,0.33,469,12,0.0539,0,735,7,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,52.8,2.85,69.6,147,420,0.33,469,12,0.0539,0,753,8,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,56.3,2.85,69.6,147,420,0.33,469,12,0.0539,0,783,8,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,75.3,2.85,69.6,147,420,0.33,469,12,0.0539,0,938,6,N,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,77.5,2.85,69.6,147,420,0.33,469,12,0.0539,0,962,5,N,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,18.5,2.85,69.6,174,513,0.33,552,11,0.0579,0,568,7,N,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,18.4,2.85,69.6,147,420,0.33,469,12,0.0539,0,589,11,N,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.3,2.85,69.6,147,420,0.33,469,12,0.0539,0,960,5,N,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.4,2.85,69.6,147,420,0.33,469,12,0.0539,0,418,7,N,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,21.6,2.72,69,159,402,0.33,538,12,0.1116,0,766,7,Y,gallardy_16_mr0930
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,22.8,2.72,69,156,402,0.33,538,12,0.1116,0,903,6,Y,gallardy_16_mr0930
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,22.9,2.72,69,156,402,0.33,538,12,0.1116,0,914,6,Y,gallardy_16_mr0930
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,24.4,2.72,69,159,402,0.33,538,12,0.1116,0,987,11,Y,gallardy_16_mr0930
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,22.9,2.72,69,159,402,0.33,538,12,0.1116,0,427,17,Y,gallardy_16_mr0930
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,23,2.72,69,159,402,0.33,538,12,0.1116,0,396,5,Y,gallardy_16_mr0930
