projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,65.3,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,856
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,74.7,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,945
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,76.4,2.87,71.7,149.0,386.0,0.33,496.0,15.0,0.0589,0,951
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T721,22.7,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,957
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T751,22.9,2.87,71.7,159.0,386.0,0.33,496.0,15.0,0.0589,0,799
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T751,26.0,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,1099
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,22.7,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,405
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,22.9,2.87,71.7,159.0,386.0,0.33,496.0,15.0,0.0589,0,394
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,26.0,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,456
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,36.7,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,874
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,36.8,2.87,71.7,166.0,386.0,0.33,496.0,15.0,0.0589,0,756
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,41.0,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,1029
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,41.6,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,1012
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,62.1,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,800
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,63.4,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,819
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T721,65.3,2.87,71.7,146.0,386.0,0.33,496.0,15.0,0.0589,0,808
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T721,65.3,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,817
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,74.7,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,874
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,76.4,2.87,71.7,149.0,386.0,0.33,496.0,15.0,0.0589,0,894
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,18.6,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,0,631
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,25.4,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,1026
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,25.4,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,1061
